Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Player-additional,Year
59,Toney Douglas,PG,27,MIA,10,0,29,3,9,0.333,3,6,0.5,0,3,0.0,0.5,1,2,0.5,1,3,4,5,0,0,1,3,10,douglto01,2013
60,Chris Douglas-Roberts,SF,27,CHA,4,0,70,11,16,0.688,4,8,0.5,7,8,0.875,0.813,12,14,0.857,2,6,8,2,0,0,4,11,38,douglch01,2013
61,Jared Dudley,SF,28,LAC,7,0,45,3,11,0.273,3,6,0.5,0,5,0.0,0.409,0,0,,0,6,6,2,1,0,0,5,9,dudleja01,2013
62,Tim Duncan*,C,37,SAS,23,23,752,149,285,0.523,0,2,0.0,149,283,0.527,0.523,76,100,0.76,65,146,211,45,7,29,26,52,374,duncati01,2013
63,Mike Dunleavy,SF,33,CHI,5,5,163,25,53,0.472,12,26,0.462,13,27,0.481,0.585,4,6,0.667,5,13,18,12,3,1,5,7,66,dunlemi02,2013
64,Kevin Durant,SF,25,OKC,19,19,815,194,422,0.46,43,125,0.344,151,297,0.508,0.511,132,163,0.81,25,145,170,75,19,25,72,41,563,duranke01,2013
65,Wayne Ellington,SG,26,DAL,2,0,14,2,6,0.333,2,6,0.333,0,0,,0.5,2,2,1.0,0,2,2,2,0,0,2,1,8,ellinwa01,2013
66,Monta Ellis,SG,28,DAL,7,7,249,52,127,0.409,12,34,0.353,40,93,0.43,0.457,27,31,0.871,6,11,17,20,9,1,15,19,143,ellismo01,2013
67,Landry Fields,SF,25,TOR,3,0,26,0,2,0.0,0,0,,0,2,0.0,0.0,0,0,,2,5,7,1,4,1,1,2,0,fieldla01,2013
68,Derek Fisher,SG,39,OKC,19,0,299,23,73,0.315,12,41,0.293,11,32,0.344,0.397,15,15,1.0,6,27,33,16,13,0,6,27,73,fishede01,2013
69,Jamaal Franklin,SG,22,MEM,2,0,4,0,2,0.0,0,0,,0,2,0.0,0.0,1,2,0.5,0,1,1,0,0,0,0,0,1,frankja01,2013
70,Joel Freeland,C,26,POR,9,0,24,0,3,0.0,0,0,,0,3,0.0,0.0,1,2,0.5,4,4,8,1,1,1,4,7,1,freeljo01,2013
71,Francisco García,SF,32,HOU,2,0,22,2,6,0.333,0,3,0.0,2,3,0.667,0.333,3,4,0.75,1,1,2,0,0,0,0,3,7,garcifr01,2013
72,Kevin Garnett*,C,37,BRK,12,12,250,33,63,0.524,0,2,0.0,33,61,0.541,0.524,17,23,0.739,19,57,76,16,9,5,13,25,83,garneke01,2013
73,Marc Gasol,C,29,MEM,7,7,299,47,116,0.405,0,1,0.0,47,115,0.409,0.405,27,34,0.794,13,41,54,31,12,6,12,27,121,gasolma01,2013
74,Paul George,SF,23,IND,19,19,781,138,315,0.438,52,129,0.403,86,186,0.462,0.521,101,128,0.789,13,132,145,73,41,7,49,56,429,georgpa01,2013
75,Taj Gibson,PF,28,CHI,5,0,154,32,57,0.561,0,0,,32,57,0.561,0.561,27,36,0.75,21,10,31,2,2,12,8,12,91,gibsota01,2013
76,Manu Ginóbili*,SG,36,SAS,23,0,586,104,237,0.439,41,105,0.39,63,132,0.477,0.525,81,94,0.862,9,66,75,95,36,2,52,60,330,ginobma01,2013
77,Drew Gooden,C,32,WAS,10,0,146,14,38,0.368,0,4,0.0,14,34,0.412,0.368,6,8,0.75,20,22,42,4,3,4,4,30,34,goodedr01,2013
78,Marcin Gortat,C,29,WAS,11,11,382,58,118,0.492,0,0,,58,118,0.492,0.492,27,41,0.659,36,73,109,16,5,14,20,22,143,gortama01,2013
79,Danny Granger,SF,30,LAC,13,0,134,11,40,0.275,5,22,0.227,6,18,0.333,0.338,7,9,0.778,2,18,20,3,6,1,3,24,34,grangda01,2013
80,Danny Green,SG,26,SAS,23,23,529,78,159,0.491,48,101,0.475,30,58,0.517,0.642,9,11,0.818,9,60,69,21,32,17,20,50,213,greenda02,2013
81,Draymond Green,SF,23,GSW,7,4,228,28,60,0.467,8,29,0.276,20,31,0.645,0.533,19,24,0.792,18,40,58,20,12,12,17,33,83,greendr01,2013
82,Willie Green,SG,32,LAC,5,0,19,1,5,0.2,1,4,0.25,0,1,0.0,0.3,2,2,1.0,0,7,7,1,3,0,1,3,5,greenwi01,2013
83,Blake Griffin,PF,24,LAC,13,13,478,117,234,0.5,1,7,0.143,116,227,0.511,0.502,71,96,0.74,35,61,96,50,16,14,31,54,306,griffbl01,2013
84,Jorge Gutiérrez,PG,25,BRK,2,0,3,0,0,,0,0,,0,0,,,2,4,0.5,1,0,1,0,0,0,0,0,2,gutiejo01,2013
85,Tyler Hansbrough,PF,28,TOR,3,0,29,1,3,0.333,0,0,,1,3,0.333,0.333,5,6,0.833,2,4,6,1,0,0,2,8,7,hansbty01,2013
86,James Harden,SG,24,HOU,6,6,263,50,133,0.376,16,54,0.296,34,79,0.43,0.436,45,50,0.9,5,23,28,35,12,1,21,21,161,hardeja01,2013
