Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Player-additional,Year
1,Jordan Adams,SG,20,MEM,4,0,10,2,3,0.667,1,1,1.0,1,2,0.5,0.833,2,4,0.5,0,1,1,0,1,0,0,0,7,adamsjo01,2014
2,Arron Afflalo,SG,29,POR,3,3,60,2,12,0.167,1,4,0.25,1,8,0.125,0.208,0,1,0.0,0,7,7,2,0,0,3,6,5,afflaar01,2014
3,Alexis Ajinça,C,26,NOP,3,0,10,4,4,1.0,0,0,,4,4,1.0,1.0,0,0,,0,1,1,1,1,0,0,2,8,ajincal01,2014
4,LaMarcus Aldridge,PF,29,POR,5,5,208,37,112,0.33,3,11,0.273,34,101,0.337,0.344,32,36,0.889,21,35,56,9,2,12,8,16,109,aldrila01,2014
5,Tony Allen,SG,33,MEM,10,9,279,28,57,0.491,1,7,0.143,27,50,0.54,0.5,9,12,0.75,14,38,52,15,24,11,13,27,66,allento01,2014
6,Al-Farouq Aminu,SF,24,DAL,5,2,150,17,31,0.548,7,11,0.636,10,20,0.5,0.661,15,19,0.789,14,22,36,6,10,8,6,15,56,aminual01,2014
7,Alan Anderson,SG,32,BRK,6,0,142,25,41,0.61,10,16,0.625,15,25,0.6,0.732,6,9,0.667,2,19,21,7,4,1,8,9,66,anderal01,2014
8,Ryan Anderson,PF,26,NOP,4,0,95,16,36,0.444,5,12,0.417,11,24,0.458,0.514,6,6,1.0,7,10,17,9,0,2,4,12,43,anderry01,2014
9,Giannis Antetokounmpo,SG,20,MIL,6,6,201,26,71,0.366,0,1,0.0,26,70,0.371,0.366,17,23,0.739,12,30,42,16,3,9,11,18,69,antetgi01,2014
10,Pero Anti?,C,32,ATL,15,1,199,16,50,0.32,11,32,0.344,5,18,0.278,0.43,20,25,0.8,9,34,43,4,2,3,5,38,63,anticpe01,2014
11,Trevor Ariza,SF,29,HOU,17,17,655,75,176,0.426,36,96,0.375,39,80,0.488,0.528,38,42,0.905,18,91,109,44,30,2,23,51,224,arizatr01,2014
12,Ömer A??k,C,28,NOP,4,4,79,2,10,0.2,0,0,,2,10,0.2,0.2,4,7,0.571,12,17,29,6,5,0,5,10,8,asikom01,2014
13,Jeff Ayres,PF,27,SAS,3,0,12,0,1,0.0,0,0,,0,1,0.0,0.0,0,0,,0,3,3,2,0,0,0,0,0,pendeje02,2014
14,Leandro Barbosa,SG,32,GSW,21,0,229,39,88,0.443,8,23,0.348,31,65,0.477,0.489,18,22,0.818,8,19,27,18,6,1,12,24,104,barbole01,2014
15,J.J. Barea,PG,30,DAL,5,2,154,25,57,0.439,4,16,0.25,21,41,0.512,0.474,5,6,0.833,5,19,24,37,4,0,14,17,59,bareajo01,2014
16,Harrison Barnes,SF,22,GSW,21,21,681,88,200,0.44,22,62,0.355,66,138,0.478,0.495,25,34,0.735,45,65,110,32,17,11,22,45,223,barneha02,2014
17,Matt Barnes,SF,34,LAC,14,14,409,38,100,0.38,16,60,0.267,22,40,0.55,0.46,15,20,0.75,16,55,71,22,20,10,16,54,107,barnema02,2014
18,Brandon Bass,PF,29,BOS,4,4,86,7,20,0.35,0,0,,7,20,0.35,0.35,6,10,0.6,3,5,8,10,1,3,3,4,20,bassbr01,2014
19,Nicolas Batum,SF,26,POR,5,5,209,24,70,0.343,13,39,0.333,11,31,0.355,0.436,10,13,0.769,6,37,43,26,1,1,12,11,71,batumni01,2014
20,Jerryd Bayless,PG,26,MIL,6,0,120,12,35,0.343,2,7,0.286,10,28,0.357,0.371,13,17,0.765,4,11,15,18,2,2,4,12,39,bayleje01,2014
21,Aron Baynes,C,28,SAS,4,0,40,3,10,0.3,0,0,,3,10,0.3,0.3,3,3,1.0,3,7,10,1,0,0,3,9,9,baynear01,2014
22,Kent Bazemore,SG,25,ATL,16,2,303,30,71,0.423,6,28,0.214,24,43,0.558,0.465,21,31,0.677,3,50,53,13,11,9,11,25,87,bazemke01,2014
23,Bradley Beal,SG,21,WAS,10,10,418,81,200,0.405,23,63,0.365,58,137,0.423,0.463,49,59,0.831,14,41,55,46,16,7,26,19,234,bealbr01,2014
24,Marco Belinelli,SG,28,SAS,7,0,116,20,39,0.513,14,30,0.467,6,9,0.667,0.692,11,13,0.846,2,11,13,10,2,0,5,10,65,belinma01,2014
25,Steve Blake,PG,34,POR,5,0,43,2,11,0.182,1,8,0.125,1,3,0.333,0.227,2,2,1.0,0,1,1,8,0,1,2,4,7,blakest01,2014
26,Bojan Bogdanovi?,SF,25,BRK,6,5,206,23,59,0.39,11,33,0.333,12,26,0.462,0.483,5,7,0.714,3,20,23,10,4,2,8,12,62,bogdabo02,2014
27,Andrew Bogut,C,30,GSW,19,18,440,42,75,0.56,0,1,0.0,42,74,0.568,0.56,5,13,0.385,41,112,153,36,11,34,26,69,89,bogutan01,2014
28,Matt Bonner,PF,34,SAS,7,0,36,2,10,0.2,2,9,0.222,0,1,0.0,0.3,0,0,,0,6,6,1,0,1,1,8,6,bonnema01,2014
29,Avery Bradley,SG,24,BOS,4,4,133,19,50,0.38,5,19,0.263,14,31,0.452,0.43,6,7,0.857,3,12,15,3,3,0,3,13,49,bradlav01,2014
30,Elton Brand,C,35,ATL,3,0,4,0,1,0.0,0,0,,0,1,0.0,0.0,1,2,0.5,0,1,1,0,0,0,0,3,1,brandel01,2014
31,Corey Brewer,SF,28,HOU,17,0,428,72,167,0.431,12,42,0.286,60,125,0.48,0.467,35,55,0.636,11,36,47,19,11,4,15,48,191,breweco01,2014
32,Aaron Brooks,PG,30,CHI,12,0,132,21,61,0.344,8,26,0.308,13,35,0.371,0.41,4,7,0.571,3,15,18,11,3,1,9,16,54,brookaa01,2014
33,Markel Brown,SG,23,BRK,2,1,10,2,5,0.4,0,2,0.0,2,3,0.667,0.4,2,2,1.0,2,0,2,1,0,0,2,0,6,brownma02,2014
34,Jimmy Butler,SG,25,CHI,12,12,506,94,213,0.441,28,72,0.389,66,141,0.468,0.507,59,72,0.819,18,49,67,38,29,9,21,27,275,butleji01,2014
35,Rasual Butler,SF,35,WAS,2,0,7,0,1,0.0,0,1,0.0,0,0,,0.0,0,0,,0,1,1,1,0,0,0,2,0,butlera01,2014
36,Will Bynum,SG,32,WAS,3,0,31,7,14,0.5,1,2,0.5,6,12,0.5,0.536,4,5,0.8,2,1,3,3,2,1,5,6,19,bynumwi01,2014
37,Nick Calathes,SG,25,MEM,9,3,126,12,36,0.333,6,13,0.462,6,23,0.261,0.417,3,8,0.375,1,15,16,16,9,1,10,15,33,calatni01,2014
38,Clint Capela,C,20,HOU,17,0,127,21,31,0.677,0,0,,21,31,0.677,0.677,15,29,0.517,13,29,42,5,3,9,3,19,57,capelca01,2014
39,DeMarre Carroll,SF,28,ATL,16,16,558,86,177,0.486,29,72,0.403,57,105,0.543,0.568,32,41,0.78,26,71,97,32,18,5,15,36,233,carrode01,2014
40,Vince Carter,SG,38,MEM,11,0,196,27,67,0.403,7,28,0.25,20,39,0.513,0.455,8,9,0.889,13,34,47,11,7,2,7,17,69,cartevi01,2014
41,Michael Carter-Williams,PG,23,MIL,6,6,191,33,78,0.423,0,5,0.0,33,73,0.452,0.423,7,12,0.583,1,26,27,29,7,6,16,14,73,cartemi01,2014
42,Tyson Chandler,C,32,DAL,5,5,160,19,29,0.655,0,0,,19,29,0.655,0.655,13,26,0.5,27,27,54,1,3,6,5,16,51,chandty01,2014
