Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Player-additional,Year
1,Steven Adams,C,25,OKC,5,5,159,28,42,0.667,0,1,0.0,28,41,0.683,0.667,3,8,0.375,12,24,36,7,5,5,9,13,59,adamsst01,2018
2,LaMarcus Aldridge,C,33,SAS,7,7,244,55,121,0.455,3,11,0.273,52,110,0.473,0.467,27,33,0.818,19,48,67,19,5,7,7,21,140,aldrila01,2018
3,Grayson Allen,SG,23,UTA,2,0,14,2,7,0.286,0,3,0.0,2,4,0.5,0.286,5,7,0.714,0,1,1,0,0,0,0,0,9,allengr01,2018
4,Jarrett Allen,C,20,BRK,5,5,110,19,32,0.594,0,0,,19,32,0.594,0.594,17,20,0.85,15,19,34,11,3,3,8,13,55,allenja01,2018
5,Al-Farouq Aminu,PF,28,POR,16,16,399,38,109,0.349,15,51,0.294,23,58,0.397,0.417,27,36,0.75,29,71,100,21,9,10,16,34,118,aminual01,2018
6,Giannis Antetokounmpo,PF,24,MIL,15,15,514,129,262,0.492,18,55,0.327,111,207,0.536,0.527,107,168,0.637,37,147,184,73,17,30,50,48,383,antetgi01,2018
7,D.J. Augustin,PG,31,ORL,5,5,141,20,41,0.488,10,21,0.476,10,20,0.5,0.61,14,16,0.875,1,7,8,19,2,1,7,7,64,augusdj01,2018
8,Will Barton,SF,28,DEN,14,3,328,47,135,0.348,15,55,0.273,32,80,0.4,0.404,18,26,0.692,15,52,67,24,4,9,13,19,127,bartowi01,2018
9,Aron Baynes,C,32,BOS,9,5,115,8,14,0.571,2,6,0.333,6,8,0.75,0.643,1,2,0.5,6,19,25,3,3,3,5,20,19,baynear01,2018
10,Malik Beasley,SG,22,DEN,14,0,281,36,93,0.387,19,47,0.404,17,46,0.37,0.489,22,31,0.71,11,37,48,14,3,1,7,20,113,beaslma01,2018
11,Marco Belinelli,SG,32,SAS,7,0,131,14,38,0.368,8,21,0.381,6,17,0.353,0.474,5,6,0.833,0,13,13,8,0,2,2,7,41,belinma01,2018
12,Jordan Bell,C,24,GSW,15,2,106,17,31,0.548,0,0,,17,31,0.548,0.548,7,10,0.7,7,12,19,11,4,7,2,13,41,belljo01,2018
13,D?vis Bert?ns,PF,26,SAS,5,0,79,5,15,0.333,3,11,0.273,2,4,0.5,0.433,3,5,0.6,0,8,8,5,0,1,1,10,16,bertada01,2018
14,Patrick Beverley,PG,30,LAC,6,6,195,20,47,0.426,13,30,0.433,7,17,0.412,0.564,6,8,0.75,8,40,48,28,6,6,10,21,59,beverpa01,2018
15,Khem Birch,C,26,ORL,5,0,92,10,18,0.556,0,0,,10,18,0.556,0.556,6,7,0.857,9,22,31,4,1,5,6,8,26,birchkh01,2018
16,Eric Bledsoe,PG,29,MIL,15,15,423,76,185,0.411,17,72,0.236,59,113,0.522,0.457,36,51,0.706,20,36,56,64,16,6,33,28,205,bledser01,2018
17,Bojan Bogdanovi?,SF,29,IND,4,4,148,25,63,0.397,7,22,0.318,18,41,0.439,0.452,15,17,0.882,3,20,23,11,8,0,6,7,72,bogdabo02,2018
18,Andrew Bogut,C,34,GSW,19,6,179,24,37,0.649,0,0,,24,37,0.649,0.649,4,5,0.8,23,51,74,21,5,6,10,38,52,bogutan01,2018
19,Jonah Bolden,PF,23,PHI,10,0,79,5,19,0.263,4,16,0.25,1,3,0.333,0.368,2,4,0.5,4,10,14,3,2,1,9,12,16,boldejo01,2018
20,Chris Boucher,PF,26,TOR,2,0,4,2,5,0.4,1,3,0.333,1,2,0.5,0.5,0,1,0.0,0,1,1,0,0,1,0,0,5,bouchch01,2018
21,Malcolm Brogdon,SG,26,MIL,7,2,198,35,78,0.449,14,37,0.378,21,41,0.512,0.538,7,11,0.636,6,28,34,24,5,1,10,16,91,brogdma01,2018
22,Bruce Brown,SG,22,DET,4,2,57,5,14,0.357,1,5,0.2,4,9,0.444,0.393,2,2,1.0,1,7,8,2,2,1,2,8,13,brownbr01,2018
23,Jaylen Brown,SG,22,BOS,9,9,274,44,87,0.506,14,40,0.35,30,47,0.638,0.586,23,30,0.767,6,46,52,10,6,2,15,30,125,brownja02,2018
24,Sterling Brown,SG,23,MIL,11,5,162,15,38,0.395,7,21,0.333,8,17,0.471,0.487,8,11,0.727,4,26,30,19,6,3,8,17,45,brownst02,2018
25,Deonte Burton,SG,25,OKC,3,0,4,1,5,0.2,0,2,0.0,1,3,0.333,0.2,0,0,,1,1,2,0,0,0,0,0,2,burtode02,2018
26,Jimmy Butler,SF,29,PHI,12,12,421,79,175,0.451,12,45,0.267,67,130,0.515,0.486,63,72,0.875,22,51,73,62,17,7,22,20,233,butleji01,2018
27,José Calderón,PG,37,DET,3,0,10,0,0,,0,0,,0,0,,,0,0,,0,0,0,5,1,0,0,0,0,caldejo01,2018
28,Clint Capela,C,24,HOU,11,11,331,46,82,0.561,0,0,,46,82,0.561,0.561,15,35,0.429,41,72,113,16,3,12,16,26,107,capelca01,2018
29,DeMarre Carroll,PF,32,BRK,5,3,119,9,38,0.237,7,24,0.292,2,14,0.143,0.329,8,8,1.0,6,14,20,2,4,0,3,8,33,carrode01,2018
30,Michael Carter-Williams,PG,27,ORL,5,0,92,12,31,0.387,2,8,0.25,10,23,0.435,0.419,7,8,0.875,2,18,20,12,3,0,8,12,33,cartemi01,2018
