Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Player-additional,Year
142,Shake Milton,SG,23,PHI,4,4,126,21,44,0.477,10,25,0.4,11,19,0.579,0.591,6,7,0.857,1,12,13,11,2,0,6,13,58,miltosh01,2019
143,Donovan Mitchell,SG,23,UTA,7,7,264,83,157,0.529,33,64,0.516,50,93,0.538,0.634,55,58,0.948,6,29,35,34,7,2,29,11,254,mitchdo01,2019
144,Juwan Morgan,PF,22,UTA,7,2,86,3,12,0.25,2,10,0.2,1,2,0.5,0.333,2,6,0.333,6,15,21,5,2,0,1,11,10,morgaju01,2019
145,Marcus Morris,PF,30,LAC,13,13,388,56,111,0.505,28,59,0.475,28,52,0.538,0.631,13,14,0.929,11,52,63,21,11,1,9,39,153,morrima03,2019
146,Markieff Morris,PF,30,LAL,21,2,385,44,98,0.449,29,69,0.42,15,29,0.517,0.597,7,9,0.778,12,52,64,20,6,3,17,54,124,morrima02,2019
147,Monte Morris,PG,24,DEN,19,4,406,66,133,0.496,12,40,0.3,54,93,0.581,0.541,28,34,0.824,4,25,29,52,12,2,10,20,172,morrimo01,2019
148,Emmanuel Mudiay,PG,23,UTA,3,0,34,5,14,0.357,2,3,0.667,3,11,0.273,0.429,1,2,0.5,1,5,6,2,0,1,1,0,13,mudiaem01,2019
149,Jamal Murray,PG,22,DEN,19,19,753,186,368,0.505,62,137,0.453,124,231,0.537,0.59,70,78,0.897,20,72,92,126,18,6,53,42,504,murraja01,2019
150,Danan Musa,SF,20,BRK,3,0,39,2,11,0.182,0,6,0.0,2,5,0.4,0.182,10,14,0.714,1,2,3,4,0,1,3,2,14,musadz01,2019
151,Mike Muscala,C,28,OKC,2,0,20,1,2,0.5,1,1,1.0,0,1,0.0,0.75,0,0,,0,4,4,1,0,0,0,2,3,muscami01,2019
152,Abdel Nader,SF,26,OKC,3,0,25,1,7,0.143,1,5,0.2,0,2,0.0,0.214,1,2,0.5,1,2,3,0,1,2,0,1,4,naderab01,2019
153,Raul Neto,PG,27,PHI,2,0,26,3,9,0.333,2,5,0.4,1,4,0.25,0.444,0,0,,0,3,3,3,1,0,1,0,8,netora01,2019
154,Georges Niang,PF,26,UTA,7,0,114,22,44,0.5,12,29,0.414,10,15,0.667,0.636,2,2,1.0,4,11,15,4,0,1,2,9,58,niangge01,2019
155,Joakim Noah,C,34,LAC,2,0,2,0,0,,0,0,,0,0,,,0,0,,0,0,0,0,0,0,0,0,0,noahjo01,2019
156,Nerlens Noel,C,25,OKC,7,0,97,8,17,0.471,0,1,0.0,8,16,0.5,0.471,5,10,0.5,5,24,29,3,2,5,2,15,21,noelne01,2019
157,Kendrick Nunn,PG,24,MIA,15,0,239,36,92,0.391,12,43,0.279,24,49,0.49,0.457,8,8,1.0,3,29,32,20,3,3,12,21,92,nunnke01,2019
158,Jusuf Nurki?,C,25,POR,5,5,161,25,57,0.439,3,11,0.273,22,46,0.478,0.465,18,23,0.783,14,38,52,18,7,1,13,21,71,nurkiju01,2019
159,Royce O'Neale,SF,26,UTA,7,7,249,13,32,0.406,10,22,0.455,3,10,0.3,0.563,3,6,0.5,3,35,38,19,9,2,13,25,39,onealro01,2019
160,Kyle O'Quinn,C,29,PHI,1,0,6,0,0,,0,0,,0,0,,,0,0,,0,1,1,1,0,0,2,3,0,oquinky01,2019
161,Semi Ojeleye,PF,25,BOS,13,0,122,7,28,0.25,5,23,0.217,2,5,0.4,0.339,2,2,1.0,2,10,12,1,3,0,1,9,21,ojelese01,2019
162,Victor Oladipo,SG,27,IND,4,4,123,22,56,0.393,12,33,0.364,10,23,0.435,0.5,15,16,0.938,0,13,13,10,9,0,14,14,71,oladivi01,2019
163,Kelly Olynyk,C,28,MIA,17,0,258,45,95,0.474,17,49,0.347,28,46,0.609,0.563,23,28,0.821,13,66,79,19,4,8,13,35,130,olynyke01,2019
164,Miye Oni,SF,22,UTA,2,0,14,3,6,0.5,1,4,0.25,2,2,1.0,0.583,0,0,,2,2,4,0,1,1,1,2,7,onimi01,2019
165,Patrick Patterson,PF,30,LAC,2,0,10,3,3,1.0,3,3,1.0,0,0,,1.5,0,0,,0,1,1,4,0,0,0,1,9,pattepa01,2019
166,Chris Paul,PG,34,OKC,7,7,261,55,112,0.491,16,43,0.372,39,69,0.565,0.563,23,26,0.885,3,49,52,37,11,3,23,18,149,paulch01,2019
167,Norvel Pelle,C,26,PHI,1,0,7,0,0,,0,0,,0,0,,,0,0,,0,0,0,0,1,1,0,0,0,pelleno01,2019
168,Mason Plumlee,C,29,DEN,19,0,206,19,39,0.487,0,1,0.0,19,38,0.5,0.487,8,12,0.667,31,30,61,25,4,8,11,40,46,plumlma01,2019
169,Vincent Poirier,C,26,BOS,1,0,2,0,0,,0,0,,0,0,,,0,0,,0,0,0,1,1,0,0,0,0,poirivi01,2019
170,Michael Porter Jr.,SF,21,DEN,19,3,451,78,164,0.476,34,89,0.382,44,75,0.587,0.579,26,35,0.743,21,106,127,16,13,6,25,43,216,portemi01,2019
171,Kristaps Porzi??is,C,24,DAL,3,3,94,21,40,0.525,9,17,0.529,12,23,0.522,0.638,20,23,0.87,3,23,26,2,0,3,3,9,71,porzikr01,2019
172,Norman Powell,SG,26,TOR,11,0,273,51,104,0.49,22,52,0.423,29,52,0.558,0.596,23,29,0.793,4,22,26,11,6,3,11,29,147,powelno01,2019
173,Josh Reaves,SF,22,DAL,2,0,9,1,3,0.333,0,1,0.0,1,2,0.5,0.333,2,2,1.0,0,2,2,1,0,1,1,1,4,reavejo02,2019
174,Josh Richardson,SG,26,PHI,4,4,144,20,56,0.357,10,28,0.357,10,28,0.357,0.446,17,18,0.944,4,11,15,13,2,2,8,12,67,richajo01,2019
175,Austin Rivers,SG,27,HOU,12,0,211,19,61,0.311,9,35,0.257,10,26,0.385,0.385,10,13,0.769,2,28,30,16,7,1,8,22,57,riverau01,2019
176,Andre Roberson,SF,28,OKC,1,0,3,0,1,0.0,0,1,0.0,0,0,,0.0,0,0,,0,0,0,0,0,0,0,1,0,roberan03,2019
177,Duncan Robinson,SG,25,MIA,21,21,600,75,176,0.426,62,156,0.397,13,20,0.65,0.602,33,38,0.868,5,53,58,38,14,6,16,65,245,robindu01,2019
178,Rajon Rondo,PG,33,LAL,16,0,395,55,121,0.455,20,50,0.4,35,71,0.493,0.537,13,19,0.684,13,56,69,105,22,2,34,36,143,rondora01,2019
179,Terrence Ross,SG,28,ORL,5,0,135,30,64,0.469,10,30,0.333,20,34,0.588,0.547,12,14,0.857,1,21,22,5,4,1,8,14,82,rosste01,2019
180,JaKarr Sampson,PF,26,IND,4,0,50,10,16,0.625,0,0,,10,16,0.625,0.625,0,0,,1,12,13,4,2,0,2,10,20,sampsja02,2019
181,Dennis Schröder,PG,26,OKC,7,0,227,44,109,0.404,13,45,0.289,31,64,0.484,0.463,20,25,0.8,2,24,26,25,4,1,17,15,121,schrode01,2019
182,Mike Scott,PF,31,PHI,4,0,20,1,5,0.2,0,2,0.0,1,3,0.333,0.2,4,4,1.0,2,6,8,1,0,0,0,2,6,scottmi01,2019
183,Landry Shamet,SG,22,LAC,13,4,243,24,59,0.407,15,42,0.357,9,17,0.529,0.534,5,7,0.714,0,22,22,17,6,3,13,18,68,shamela01,2019
184,Pascal Siakam,PF,25,TOR,11,11,418,72,182,0.396,10,53,0.189,62,129,0.481,0.423,33,46,0.717,14,69,83,42,12,4,22,33,187,siakapa01,2019
185,Anfernee Simons,SG,20,POR,4,0,82,8,26,0.308,6,14,0.429,2,12,0.167,0.423,5,6,0.833,1,10,11,10,6,0,4,7,27,simonan01,2019
186,Marcus Smart,SG,25,BOS,17,16,648,78,198,0.394,41,123,0.333,37,75,0.493,0.497,49,56,0.875,10,79,89,78,21,8,45,55,246,smartma01,2019
187,J.R. Smith,SG,34,LAL,10,0,75,7,26,0.269,6,22,0.273,1,4,0.25,0.385,0,0,,0,3,3,3,2,0,7,11,20,smithjr01,2019
188,Edmond Sumner,SG,24,IND,3,0,41,2,7,0.286,0,3,0.0,2,4,0.5,0.286,2,2,1.0,1,5,6,0,0,0,2,5,6,sumneed01,2019
189,Jayson Tatum,PF,21,BOS,17,17,690,145,334,0.434,47,126,0.373,98,208,0.471,0.504,100,123,0.813,22,148,170,85,17,20,48,41,437,tatumja01,2019
190,Garrett Temple,SG,33,BRK,4,4,137,17,49,0.347,9,36,0.25,8,13,0.615,0.439,5,6,0.833,0,11,11,8,3,1,6,12,48,templga01,2019
191,Daniel Theis,C,27,BOS,17,17,482,61,117,0.521,4,26,0.154,57,91,0.626,0.538,26,33,0.788,32,89,121,25,6,21,15,66,152,theisda01,2019
192,Lance Thomas,PF,31,BRK,3,0,17,1,5,0.2,0,2,0.0,1,3,0.333,0.2,2,4,0.5,1,2,3,0,0,1,0,2,4,thomala01,2019
193,Matt Thomas,SG,25,TOR,10,0,84,13,21,0.619,5,12,0.417,8,9,0.889,0.738,0,0,,1,13,14,7,1,1,1,6,31,thomama02,2019
194,Matisse Thybulle,SG,22,PHI,4,1,75,3,7,0.429,1,4,0.25,2,3,0.667,0.5,0,0,,1,6,7,2,3,1,2,6,7,thybuma01,2019
195,Gary Trent Jr.,SF,21,POR,5,1,153,16,45,0.356,10,24,0.417,6,21,0.286,0.467,6,7,0.857,5,5,10,3,4,0,5,16,48,trentga02,2019
196,P.J. Tucker,PF,34,HOU,12,12,414,35,88,0.398,25,67,0.373,10,21,0.476,0.54,0,0,,23,63,86,18,13,3,12,47,95,tuckepj01,2019
197,Rayjon Tucker,SG,22,UTA,2,0,11,2,5,0.4,1,3,0.333,1,2,0.5,0.5,0,0,,0,0,0,0,0,0,1,1,5,tuckera01,2019
198,Myles Turner,C,23,IND,4,4,146,25,44,0.568,6,14,0.429,19,30,0.633,0.636,7,16,0.438,11,32,43,3,2,16,9,13,63,turnemy01,2019
199,Fred VanVleet,SG,25,TOR,11,11,430,76,190,0.4,43,110,0.391,33,80,0.413,0.513,21,25,0.84,5,43,48,76,18,7,22,27,216,vanvlfr01,2019
200,Gabe Vincent,PG,23,MIA,1,0,0,0,0,,0,0,,0,0,,,0,0,,0,0,0,0,0,0,0,0,0,vincega01,2019
201,Noah Vonleh,C,24,DEN,1,0,3,0,1,0.0,0,0,,0,1,0.0,0.0,0,0,,0,0,0,0,0,0,0,0,0,vonleno01,2019
202,Nikola Vu?evi?,C,29,ORL,5,5,185,56,111,0.505,18,44,0.409,38,67,0.567,0.586,10,11,0.909,9,46,55,20,4,3,13,13,140,vucevni01,2019
203,Dion Waiters,SG,28,LAL,5,0,38,4,12,0.333,0,4,0.0,4,8,0.5,0.333,2,2,1.0,0,2,2,2,1,1,1,2,10,waitedi01,2019
204,Kemba Walker,PG,29,BOS,17,17,628,113,256,0.441,39,126,0.31,74,130,0.569,0.518,69,81,0.852,6,63,69,86,15,7,32,43,334,walkeke02,2019
205,Brad Wanamaker,PG,30,BOS,17,0,273,29,60,0.483,12,27,0.444,17,33,0.515,0.583,14,16,0.875,2,32,34,30,12,4,18,32,84,wanambr01,2019
206,T.J. Warren,SF,26,IND,4,4,156,32,68,0.471,7,19,0.368,25,49,0.51,0.522,9,9,1.0,5,20,25,12,9,1,11,16,80,warretj01,2019
207,Tremont Waters,PG,22,BOS,1,0,2,0,1,0.0,0,1,0.0,0,0,,0.0,0,0,,0,1,1,1,0,0,0,0,0,watertr01,2019
208,Paul Watson,SF,25,TOR,2,0,9,1,2,0.5,0,0,,1,2,0.5,0.5,0,0,,0,0,0,1,1,0,0,0,2,watsopa01,2019
209,Russell Westbrook,PG,31,HOU,8,8,262,59,140,0.421,8,33,0.242,51,107,0.477,0.45,17,32,0.531,11,45,56,37,12,2,30,23,143,westbru01,2019
210,Hassan Whiteside,C,30,POR,5,3,106,13,24,0.542,1,1,1.0,12,23,0.522,0.563,7,14,0.5,7,28,35,2,1,10,6,17,34,whiteha01,2019
211,Grant Williams,PF,21,BOS,17,0,170,15,26,0.577,10,17,0.588,5,9,0.556,0.769,7,10,0.7,7,19,26,6,2,5,4,33,47,willigr01,2019
212,Lou Williams,PG,33,LAC,13,0,341,62,146,0.425,12,51,0.235,50,95,0.526,0.466,30,37,0.811,7,34,41,55,10,2,21,18,166,willilo02,2019
213,Marvin Williams,PF,33,MIL,10,0,179,21,47,0.447,10,23,0.435,11,24,0.458,0.553,3,3,1.0,13,35,48,9,5,3,3,14,55,willima02,2019
214,Robert Williams,C,22,BOS,13,0,149,23,31,0.742,0,1,0.0,23,30,0.767,0.742,2,6,0.333,22,29,51,10,3,6,7,18,48,williro04,2019
215,Nigel Williams-Goss,PG,25,UTA,1,0,2,0,0,,0,0,,0,0,,,0,0,,0,0,0,1,0,0,0,0,0,willini01,2019
216,Delon Wright,PG,27,DAL,4,0,53,6,10,0.6,1,2,0.5,5,8,0.625,0.65,3,5,0.6,1,2,3,7,5,0,5,2,16,wrighde01,2019
217,Ivica Zubac,C,22,LAC,13,13,320,44,78,0.564,0,0,,44,78,0.564,0.564,30,37,0.811,31,62,93,8,2,10,12,34,118,zubaciv01,2019
