Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Player-additional,Year
1,Álex Abrines,SG,23,OKC,5,0,80,8,23,0.348,5,17,0.294,3,6,0.5,0.457,3,4,0.75,2,7,9,4,0,0,0,8,24,abrinal01,2016
2,Steven Adams,C,23,OKC,5,5,157,18,28,0.643,0,0,,18,28,0.643,0.643,4,11,0.364,17,17,34,7,6,9,4,14,40,adamsst01,2016
3,LaMarcus Aldridge,PF,31,SAS,16,16,537,110,240,0.458,2,14,0.143,108,226,0.478,0.463,42,55,0.764,43,76,119,24,10,16,28,41,264,aldrila01,2016
4,Lavoy Allen,PF,27,IND,3,0,11,0,0,,0,0,,0,0,,,0,0,,0,2,2,0,0,0,1,0,0,allenla01,2016
5,Al-Farouq Aminu,PF,26,POR,4,0,113,17,37,0.459,7,17,0.412,10,20,0.5,0.554,7,11,0.636,5,21,26,4,3,4,9,9,48,aminual01,2016
6,Kyle Anderson,SF,23,SAS,15,1,195,36,64,0.563,3,10,0.3,33,54,0.611,0.586,8,11,0.727,12,34,46,25,10,2,7,8,83,anderky01,2016
7,Ryan Anderson,PF,28,HOU,11,9,336,36,92,0.391,17,60,0.283,19,32,0.594,0.484,14,16,0.875,15,42,57,7,4,2,9,24,103,anderry01,2016
8,Giannis Antetokounmpo,SF,22,MIL,6,6,243,60,112,0.536,4,10,0.4,56,102,0.549,0.554,25,46,0.543,10,47,57,24,13,10,20,21,149,antetgi01,2016
9,Joel Anthony,C,34,SAS,3,0,15,3,4,0.75,0,0,,3,4,0.75,0.75,0,1,0.0,2,2,4,0,0,2,1,2,6,anthojo01,2016
10,Trevor Ariza,SF,31,HOU,11,11,413,41,97,0.423,23,61,0.377,18,36,0.5,0.541,13,14,0.929,8,48,56,23,14,2,9,25,118,arizatr01,2016
11,Wade Baldwin,PG,20,MEM,3,0,12,0,1,0.0,0,0,,0,1,0.0,0.0,2,2,1.0,1,3,4,2,0,0,0,3,2,baldwwa01,2016
12,Matt Barnes,SF,36,GSW,12,0,61,4,15,0.267,1,8,0.125,3,7,0.429,0.3,0,0,,0,9,9,7,2,0,3,9,9,barnema02,2016
13,Brandon Bass,PF,31,LAC,1,0,4,1,3,0.333,0,0,,1,3,0.333,0.333,0,0,,1,0,1,0,1,0,0,0,2,bassbr01,2016
14,Kent Bazemore,SF,27,ATL,6,0,150,21,53,0.396,7,24,0.292,14,29,0.483,0.462,10,14,0.714,4,19,23,20,4,5,16,15,59,bazemke01,2016
15,Bradley Beal,SG,23,WAS,13,13,505,122,259,0.471,29,101,0.287,93,158,0.589,0.527,50,61,0.82,15,29,44,35,21,8,27,38,323,bealbr01,2016
16,Michael Beasley,PF,28,MIL,4,0,48,7,20,0.35,3,5,0.6,4,15,0.267,0.425,0,4,0.0,2,7,9,1,1,1,2,8,17,beaslmi01,2016
17,D?vis Bert?ns,PF,24,SAS,13,0,112,12,27,0.444,8,20,0.4,4,7,0.571,0.593,4,6,0.667,5,15,20,3,3,4,6,7,36,bertada01,2016
18,Patrick Beverley,SG,28,HOU,11,11,325,45,109,0.413,21,52,0.404,24,57,0.421,0.509,11,14,0.786,21,40,61,33,16,2,18,38,122,beverpa01,2016
19,Bojan Bogdanovi?,SF,27,WAS,13,0,264,36,87,0.414,16,45,0.356,20,42,0.476,0.506,27,32,0.844,10,46,56,9,6,1,8,17,115,bogdabo02,2016
20,Joel Bolomboy,PF,23,UTA,2,0,9,2,3,0.667,0,0,,2,3,0.667,0.667,0,0,,0,2,2,0,0,1,0,0,4,bolomjo01,2016
21,Avery Bradley,SG,26,BOS,18,18,645,120,272,0.441,40,114,0.351,80,158,0.506,0.515,21,27,0.778,18,53,71,41,23,3,31,40,301,bradlav01,2016
22,Malcolm Brogdon,SG,24,MIL,6,6,183,22,55,0.4,10,21,0.476,12,34,0.353,0.491,0,0,,3,23,26,21,3,2,12,12,54,brogdma01,2016
23,Aaron Brooks,PG,32,IND,1,0,7,2,3,0.667,1,2,0.5,1,1,1.0,0.833,0,0,,0,1,1,1,0,0,1,0,5,brookaa01,2016
24,Bobby Brown,PG,32,HOU,5,0,22,10,20,0.5,5,11,0.455,5,9,0.556,0.625,0,0,,0,2,2,1,0,0,0,1,25,brownbo02,2016
25,Jaylen Brown,SF,20,BOS,17,0,215,34,71,0.479,5,23,0.217,29,48,0.604,0.514,12,18,0.667,12,24,36,13,6,2,13,26,85,brownja02,2016
26,Trey Burke,PG,24,WAS,3,0,20,0,4,0.0,0,2,0.0,0,2,0.0,0.0,0,0,,0,0,0,5,0,0,0,2,0,burketr01,2016
27,Jimmy Butler,SF,27,CHI,6,6,239,46,108,0.426,6,23,0.261,40,85,0.471,0.454,38,47,0.809,9,35,44,26,10,5,15,10,136,butleji01,2016
28,José Calderón,PG,35,ATL,6,0,75,11,23,0.478,4,12,0.333,7,11,0.636,0.565,0,0,,2,6,8,13,2,1,4,9,26,caldejo01,2016
29,Isaiah Canaan,SG,25,CHI,3,2,95,13,26,0.5,5,14,0.357,8,12,0.667,0.596,4,6,0.667,0,4,4,4,3,0,5,6,35,canaais01,2016
30,Clint Capela,C,22,HOU,11,11,286,46,82,0.561,0,1,0.0,46,81,0.568,0.561,24,39,0.615,26,70,96,12,8,28,8,28,116,capelca01,2016
31,DeMarre Carroll,SF,30,TOR,10,7,155,15,37,0.405,7,22,0.318,8,15,0.533,0.5,5,9,0.556,4,23,27,5,8,5,5,13,42,carrode01,2016
32,Vince Carter,SF,40,MEM,6,6,195,20,42,0.476,8,20,0.4,12,22,0.545,0.571,7,7,1.0,4,16,20,9,2,0,10,15,55,cartevi01,2016
33,Michael Carter-Williams,PG,25,CHI,5,0,53,6,15,0.4,0,1,0.0,6,14,0.429,0.4,2,4,0.5,1,3,4,6,2,1,6,6,14,cartemi01,2016
34,Semaj Christon,PG,24,OKC,2,0,21,2,5,0.4,1,3,0.333,1,2,0.5,0.5,0,0,,0,3,3,5,1,0,0,1,5,chrisse01,2016
35,Ian Clark,SG,25,GSW,16,0,219,40,79,0.506,13,36,0.361,27,43,0.628,0.589,16,17,0.941,4,22,26,11,6,0,11,17,109,clarkia01,2016
36,Norris Cole,PG,28,OKC,4,0,25,2,8,0.25,1,4,0.25,1,4,0.25,0.313,0,0,,0,1,1,1,0,1,2,4,5,coleno01,2016
37,Mike Conley,PG,29,MEM,6,6,224,50,103,0.485,17,38,0.447,33,65,0.508,0.568,31,37,0.838,1,19,20,42,10,3,12,11,148,conlemi01,2016
38,Pat Connaughton,SG,24,POR,3,0,24,2,9,0.222,0,6,0.0,2,3,0.667,0.222,3,3,1.0,1,6,7,4,0,0,0,0,7,connapa01,2016
39,Allen Crabbe,SG,24,POR,4,0,92,9,24,0.375,3,13,0.231,6,11,0.545,0.438,1,3,0.333,0,12,12,2,1,0,1,9,22,crabbal01,2016
40,Jamal Crawford,SG,36,LAC,7,0,196,35,83,0.422,6,25,0.24,29,58,0.5,0.458,12,12,1.0,2,7,9,13,4,1,9,12,88,crawfja01,2016
41,Jae Crowder,SF,26,BOS,18,18,596,87,200,0.435,31,88,0.352,56,112,0.5,0.513,40,48,0.833,20,95,115,48,19,6,12,52,245,crowdja01,2016
42,Stephen Curry,PG,28,GSW,17,17,601,151,312,0.484,72,172,0.419,79,140,0.564,0.599,103,114,0.904,22,84,106,114,34,4,58,37,477,curryst01,2016
43,Troy Daniels,SG,25,MEM,6,0,68,3,9,0.333,3,9,0.333,0,0,,0.5,0,0,,1,4,5,2,2,0,2,1,9,danietr01,2016
44,Deyonta Davis,C,20,MEM,3,0,11,3,5,0.6,0,0,,3,5,0.6,0.6,1,2,0.5,2,3,5,0,0,0,0,2,7,davisde01,2016
45,Dewayne Dedmon,C,27,SAS,12,3,97,14,23,0.609,0,0,,14,23,0.609,0.609,17,32,0.531,21,26,47,3,2,3,8,16,45,dedmode01,2016
46,Sam Dekker,PF,22,HOU,4,0,31,3,12,0.25,3,6,0.5,0,6,0.0,0.375,0,0,,5,5,10,1,1,1,0,2,9,dekkesa01,2016
47,Malcolm Delaney,PG,27,ATL,1,0,3,3,3,1.0,1,1,1.0,2,2,1.0,1.167,1,2,0.5,0,1,1,0,0,0,0,0,8,delanma01,2016
48,Matthew Dellavedova,PG,26,MIL,6,0,159,16,41,0.39,6,16,0.375,10,25,0.4,0.463,8,10,0.8,1,11,12,12,1,0,7,5,46,dellama01,2016
49,DeMar DeRozan,SG,27,TOR,10,10,373,76,175,0.434,1,15,0.067,75,160,0.469,0.437,71,80,0.888,4,45,49,34,14,0,25,26,224,derozde01,2016
50,Boris Diaw,PF,34,UTA,11,9,203,24,48,0.5,6,14,0.429,18,34,0.529,0.563,9,10,0.9,3,18,21,22,7,4,14,12,63,diawbo01,2016
51,Mike Dunleavy,SF,36,ATL,6,0,53,3,7,0.429,2,5,0.4,1,2,0.5,0.571,4,4,1.0,1,4,5,2,1,0,6,3,12,dunlemi02,2016
52,Kevin Durant,PF,28,GSW,15,15,533,149,268,0.556,38,86,0.442,111,182,0.61,0.627,92,103,0.893,16,103,119,64,12,20,38,39,428,duranke01,2016
53,Monta Ellis,SG,31,IND,4,2,76,8,20,0.4,2,8,0.25,6,12,0.5,0.45,4,5,0.8,1,7,8,5,2,1,4,5,22,ellismo01,2016
54,James Ennis III,SF,26,MEM,6,4,159,16,38,0.421,6,19,0.316,10,19,0.526,0.5,12,14,0.857,8,17,25,7,5,2,7,20,50,ennisja01,2016
55,Dante Exum,PG,21,UTA,7,0,84,11,27,0.407,4,12,0.333,7,15,0.467,0.481,6,6,1.0,2,4,6,9,5,0,3,10,32,exumda01,2016
56,Derrick Favors,PF,25,UTA,11,2,225,36,62,0.581,0,0,,36,62,0.581,0.581,11,23,0.478,15,45,60,10,8,6,4,25,83,favorde01,2016
57,Cristiano Felício,C,24,CHI,6,0,82,9,15,0.6,0,0,,9,15,0.6,0.6,1,2,0.5,7,19,26,2,3,2,7,16,19,feliccr01,2016
58,Raymond Felton,PG,32,LAC,7,0,127,15,32,0.469,4,9,0.444,11,23,0.478,0.531,5,5,1.0,2,8,10,10,6,0,3,10,39,feltora01,2016
59,Bryn Forbes,SG,23,SAS,6,0,73,6,21,0.286,2,9,0.222,4,12,0.333,0.333,6,6,1.0,0,6,6,3,0,1,2,5,20,forbebr01,2016
60,Enes Freedom,C,24,OKC,5,0,45,10,26,0.385,0,0,,10,26,0.385,0.385,4,4,1.0,3,6,9,1,0,4,2,8,24,kanteen01,2016
61,Channing Frye,C,33,CLE,12,0,154,31,60,0.517,20,39,0.513,11,21,0.524,0.683,6,7,0.857,0,22,22,13,3,4,2,11,88,fryech01,2016
62,Marc Gasol,C,32,MEM,6,6,240,39,83,0.47,7,12,0.583,32,71,0.451,0.512,31,33,0.939,7,32,39,25,2,4,15,22,116,gasolma01,2016
63,Pau Gasol,C,36,SAS,16,7,365,50,114,0.439,6,18,0.333,44,96,0.458,0.465,17,24,0.708,39,75,114,31,7,15,18,35,123,gasolpa01,2016
64,Paul George,SF,26,IND,4,4,172,34,88,0.386,18,42,0.429,16,46,0.348,0.489,26,30,0.867,5,30,35,29,7,2,13,13,112,georgpa01,2016
65,Taj Gibson,PF,31,OKC,5,5,118,21,35,0.6,0,0,,21,35,0.6,0.6,7,8,0.875,3,15,18,3,1,0,8,13,49,gibsota01,2016
66,Manu Ginóbili*,SG,39,SAS,16,1,284,40,97,0.412,9,40,0.225,31,57,0.544,0.459,17,23,0.739,10,29,39,39,16,2,12,28,106,ginobma01,2016
67,Rudy Gobert,C,24,UTA,9,9,246,40,63,0.635,0,0,,40,63,0.635,0.635,24,50,0.48,22,67,89,11,9,12,9,30,104,goberru01,2016
68,Eric Gordon,SG,28,HOU,11,2,358,51,121,0.421,27,70,0.386,24,51,0.471,0.533,13,18,0.722,5,38,43,22,8,6,14,20,142,gordoer01,2016
69,Marcin Gortat,C,32,WAS,13,13,409,47,93,0.505,0,0,,47,93,0.505,0.505,11,18,0.611,52,91,143,24,5,20,17,40,105,gortama01,2016
70,Jerami Grant,PF,22,OKC,5,0,111,19,31,0.613,2,6,0.333,17,25,0.68,0.645,6,7,0.857,7,12,19,4,1,2,3,7,46,grantje01,2016
71,Jerian Grant,PG,24,CHI,5,2,52,6,23,0.261,1,9,0.111,5,14,0.357,0.283,3,3,1.0,0,4,4,5,2,0,7,3,16,grantje02,2016
72,Danny Green,SG,29,SAS,16,16,436,45,111,0.405,26,76,0.342,19,35,0.543,0.523,8,14,0.571,13,44,57,23,10,15,17,30,124,greenda02,2016
73,Draymond Green,PF,26,GSW,17,17,593,72,161,0.447,32,78,0.41,40,83,0.482,0.547,46,67,0.687,20,135,155,110,31,28,36,60,222,greendr01,2016
74,Gerald Green,SF,31,BOS,13,7,192,34,72,0.472,21,45,0.467,13,27,0.481,0.618,8,9,0.889,2,18,20,9,3,1,7,21,97,greenge01,2016
75,JaMychal Green,PF,26,MEM,6,2,118,17,36,0.472,7,16,0.438,10,20,0.5,0.569,3,3,1.0,3,17,20,2,0,0,4,21,44,greenja01,2016
76,Blake Griffin,PF,27,LAC,3,3,99,25,51,0.49,4,6,0.667,21,45,0.467,0.529,7,7,1.0,3,15,18,7,2,1,6,2,61,griffbl01,2016
77,Tim Hardaway Jr.,SG,24,ATL,6,6,200,27,82,0.329,11,42,0.262,16,40,0.4,0.396,12,19,0.632,3,13,16,7,3,0,10,13,77,hardati02,2016
78,James Harden,PG,27,HOU,11,11,407,90,218,0.413,32,115,0.278,58,103,0.563,0.486,101,115,0.878,7,53,60,93,21,5,59,43,313,hardeja01,2016
79,Maurice Harkless,SF,23,POR,4,4,99,10,34,0.294,2,12,0.167,8,22,0.364,0.324,7,8,0.875,7,6,13,3,5,5,1,14,29,harklma01,2016
80,Montrezl Harrell,C,23,HOU,5,0,21,1,3,0.333,0,0,,1,3,0.333,0.333,3,6,0.5,1,5,6,2,0,0,2,7,5,harremo01,2016
81,Andrew Harrison,PG,22,MEM,6,0,119,13,29,0.448,5,13,0.385,8,16,0.5,0.534,8,9,0.889,4,7,11,13,3,1,3,14,39,harrian01,2016
82,Spencer Hawes,PF,28,MIL,3,0,17,2,5,0.4,1,2,0.5,1,3,0.333,0.5,0,0,,2,2,4,1,0,1,1,3,5,hawessp01,2016
