Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Player-additional
1,Steven Adams,C,20,OKC,18,0,331,31,45,0.689,0,0,,31,45,0.689,0.689,8,23,0.348,22,52,74,4,1,24,10,48,70,adamsst01
2,LaMarcus Aldridge,PF,28,POR,11,11,441,113,250,0.452,2,3,0.667,111,247,0.449,0.456,60,75,0.8,30,87,117,16,7,18,19,40,288,aldrila01
3,Lavoy Allen,PF,24,IND,4,0,15,2,4,0.5,0,0,,2,4,0.5,0.5,0,0,,1,4,5,1,0,0,0,1,4,allenla01
4,Ray Allen*,SG,38,MIA,20,1,527,59,143,0.413,33,85,0.388,26,58,0.448,0.528,34,37,0.919,13,54,67,32,14,4,24,41,185,allenra02
5,Tony Allen,SG,32,MEM,7,1,230,35,72,0.486,0,7,0,35,65,0.538,0.486,16,21,0.762,23,31,54,10,12,1,12,23,86,allento01
6,Chris Andersen,C,35,MIA,18,0,317,33,57,0.579,0,1,0,33,56,0.589,0.579,26,38,0.684,26,81,107,5,5,18,9,34,92,anderch01
7,Alan Anderson,SF,31,BRK,12,2,261,25,62,0.403,9,31,0.29,16,31,0.516,0.476,12,18,0.667,10,22,32,15,10,0,10,32,71,anderal01
8,Pero Anti?,C,31,ATL,7,7,170,7,42,0.167,3,25,0.12,4,17,0.235,0.202,5,8,0.625,10,17,27,5,5,3,8,26,22,anticpe01
9,Trevor Ariza,SF,28,WAS,11,11,407,52,108,0.481,25,56,0.446,27,52,0.519,0.597,21,27,0.778,21,77,98,19,17,4,14,26,150,arizatr01
10,Hilton Armstrong,C,29,GSW,7,0,17,4,8,0.5,0,1,0,4,7,0.571,0.5,0,2,0,3,1,4,2,0,2,4,6,8,armsthi01
11,Ömer A??k,C,27,HOU,6,4,163,16,33,0.485,0,0,,16,33,0.485,0.485,3,3,1,21,28,49,4,3,4,11,29,35,asikom01
12,D.J. Augustin,PG,26,CHI,5,0,141,21,72,0.292,7,26,0.269,14,46,0.304,0.34,17,19,0.895,4,4,8,24,3,0,9,16,66,augusdj01
13,Jeff Ayres,PF,26,SAS,17,0,65,6,13,0.462,0,0,,6,13,0.462,0.462,5,8,0.625,6,13,19,5,0,0,1,6,17,pendeje02
14,Harrison Barnes,SF,21,GSW,7,0,156,19,48,0.396,8,21,0.381,11,27,0.407,0.479,9,16,0.563,7,21,28,8,1,3,5,13,55,barneha02
15,Matt Barnes,SF,33,LAC,13,13,404,45,107,0.421,19,60,0.317,26,47,0.553,0.509,13,19,0.684,22,36,58,23,12,3,17,41,122,barnema02
16,Will Barton,SG,23,POR,7,0,81,17,34,0.5,6,11,0.545,11,23,0.478,0.588,5,6,0.833,5,7,12,3,1,2,6,7,45,bartowi01
17,Shane Battier,SF,35,MIA,16,6,202,12,26,0.462,9,20,0.45,3,6,0.5,0.635,4,5,0.8,1,9,10,5,5,1,5,23,37,battish01
18,Nicolas Batum,SF,25,POR,11,11,459,67,142,0.472,21,60,0.35,46,82,0.561,0.546,12,15,0.8,10,74,84,53,14,5,28,21,167,batumni01
19,Aron Baynes,C,27,SAS,14,0,101,12,24,0.5,0,1,0,12,23,0.522,0.5,8,10,0.8,12,19,31,0,3,0,7,15,32,baynear01
20,Bradley Beal,SG,20,WAS,11,11,458,75,177,0.424,22,53,0.415,53,124,0.427,0.486,39,49,0.796,15,40,55,50,18,7,23,31,211,bealbr01
21,Michael Beasley,SF,25,MIA,4,0,23,5,10,0.5,0,0,,5,10,0.5,0.5,1,3,0.333,2,2,4,2,0,0,1,3,11,beaslmi01
22,Marco Belinelli,SF,27,SAS,23,0,356,44,99,0.444,16,38,0.421,28,61,0.459,0.525,21,22,0.955,4,48,52,19,3,0,12,23,125,belinma01
23,Patrick Beverley,PG,25,HOU,6,6,202,19,50,0.38,7,22,0.318,12,28,0.429,0.45,7,10,0.7,13,12,25,11,3,2,4,21,52,beverpa01
