Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Player-additional
71,Bruno Fernando,C,22,ATL,6,0,12,2,3,0.667,0,0,,2,3,0.667,0.667,2,2,1,1,0,1,0,0,0,0,0,6,fernabr01
72,Yogi Ferrell,PG,27,LAC,9,0,15,2,5,0.4,0,1,0,2,4,0.5,0.4,0,0,,0,3,3,3,0,0,0,0,4,ferreyo01
73,Dorian Finney-Smith,PF,27,DAL,7,7,271,26,64,0.406,16,37,0.432,10,27,0.37,0.531,4,5,0.8,17,29,46,15,8,2,12,23,72,finnedo01
74,Bryn Forbes,SG,27,MIL,20,0,273,46,112,0.411,33,89,0.371,13,23,0.565,0.558,6,8,0.75,2,26,28,6,2,2,7,16,131,forbebr01
75,Trent Forrest,PG,22,UTA,4,0,10,2,4,0.5,0,0,,2,4,0.5,0.5,0,0,,0,0,0,0,0,0,0,0,4,forretr01
76,Evan Fournier,SG,28,BOS,5,5,167,27,63,0.429,13,30,0.433,14,33,0.424,0.532,10,12,0.833,5,13,18,7,6,0,5,20,77,fournev01
77,Enes Freedom,C,28,POR,5,0,56,4,8,0.5,0,0,,4,8,0.5,0.5,2,2,1,6,7,13,0,0,2,3,9,10,kanteen01
78,Daniel Gafford,C,22,WAS,5,2,117,22,26,0.846,0,0,,22,26,0.846,0.846,15,24,0.625,14,15,29,3,5,10,3,17,59,gaffoda01
79,Danilo Gallinari,PF,32,ATL,18,0,442,74,174,0.425,34,84,0.405,40,90,0.444,0.523,49,52,0.942,8,62,70,14,6,3,15,46,231,gallida01
80,Langston Galloway,SG,29,PHO,2,0,15,1,7,0.143,0,2,0,1,5,0.2,0.143,0,1,0,0,2,2,1,0,1,0,1,2,gallola01
81,Marc Gasol,C,36,LAL,5,1,87,8,13,0.615,7,11,0.636,1,2,0.5,0.885,3,4,0.75,4,15,19,15,4,4,4,16,26,gasolma01
82,Paul George,SF,30,LAC,19,19,776,165,374,0.441,51,152,0.336,114,222,0.514,0.509,130,154,0.844,17,166,183,102,19,10,67,59,511,georgpa01
83,Taj Gibson,C,35,NYK,5,3,138,12,20,0.6,0,0,,12,20,0.6,0.6,1,1,1,16,19,35,4,8,5,3,13,25,gibsota01
84,Harry Giles,C,22,POR,1,0,4,0,1,0,0,0,,0,1,0,0,0,0,,2,1,3,0,0,0,3,0,0,gilesha01
85,Anthony Gill,PF,28,WAS,4,0,33,0,3,0,0,1,0,0,2,0,0,0,0,,1,3,4,0,0,0,3,7,0,gillan01
86,Rudy Gobert,C,28,UTA,11,11,376,60,81,0.741,0,1,0,60,80,0.75,0.741,42,66,0.636,43,92,135,9,6,23,17,46,162,goberru01
87,Aaron Gordon,PF,25,DEN,10,10,299,43,99,0.434,9,23,0.391,34,76,0.447,0.48,16,25,0.64,21,33,54,20,5,3,14,23,111,gordoaa01
88,Danny Green,SF,33,PHI,8,8,199,21,48,0.438,14,37,0.378,7,11,0.636,0.583,0,0,,9,12,21,21,9,8,5,13,56,greenda02
89,JaMychal Green,PF,30,DEN,10,0,190,20,45,0.444,6,20,0.3,14,25,0.56,0.511,8,9,0.889,17,35,52,11,2,2,3,12,54,greenja01
90,Jeff Green,PF,34,BRK,6,1,148,16,33,0.485,10,18,0.556,6,15,0.4,0.636,7,8,0.875,4,13,17,10,3,2,3,14,49,greenje02
91,Josh Green,SG,20,DAL,1,0,4,0,0,,0,0,,0,0,,,0,0,,0,0,0,0,0,0,0,0,0,greenjo02
92,Blake Griffin,PF,31,BRK,12,12,318,42,79,0.532,14,36,0.389,28,43,0.651,0.62,10,14,0.714,15,56,71,21,10,6,5,40,108,griffbl01
93,Rui Hachimura,PF,22,WAS,5,5,173,29,47,0.617,9,15,0.6,20,32,0.625,0.713,7,12,0.583,5,31,36,5,2,1,5,18,74,hachiru01
94,Tim Hardaway Jr.,SG,28,DAL,7,7,262,42,101,0.416,23,57,0.404,19,44,0.432,0.53,12,16,0.75,5,18,23,10,3,0,6,17,119,hardati02
95,James Harden,PG,31,BRK,9,9,322,51,108,0.472,24,66,0.364,27,42,0.643,0.583,56,62,0.903,7,50,57,77,15,6,26,23,182,hardeja01
96,Montrezl Harrell,C,27,LAL,4,0,39,8,14,0.571,0,0,,8,14,0.571,0.571,7,9,0.778,5,5,10,0,2,0,2,3,23,harremo01
97,Joe Harris,SF,29,BRK,12,12,434,49,123,0.398,33,82,0.402,16,41,0.39,0.533,3,4,0.75,5,38,43,19,4,2,9,34,134,harrijo01
98,Tobias Harris,PF,28,PHI,12,12,438,105,215,0.488,16,43,0.372,89,172,0.517,0.526,35,40,0.875,10,92,102,42,12,5,18,29,261,harrito02
99,Shaquille Harrison,SG,27,DEN,9,0,40,3,4,0.75,1,1,1,2,3,0.667,0.875,2,3,0.667,0,8,8,3,3,3,5,3,9,harrish01
100,Tyler Herro,SG,21,MIA,4,0,93,12,38,0.316,6,19,0.316,6,19,0.316,0.395,7,7,1,1,12,13,7,1,1,3,2,37,herroty01
101,George Hill,PG,34,PHI,12,0,205,19,43,0.442,8,19,0.421,11,24,0.458,0.535,10,13,0.769,5,11,16,18,8,3,10,18,56,hillge01
102,Solomon Hill,PF,29,ATL,14,3,145,6,24,0.25,3,18,0.167,3,6,0.5,0.313,2,4,0.5,3,16,19,3,2,1,1,18,17,hillso01
103,Jrue Holiday,PG,30,MIL,23,23,912,158,389,0.406,43,142,0.303,115,247,0.466,0.461,40,56,0.714,32,100,132,199,38,10,56,48,399,holidjr01
104,Rondae Hollis-Jefferson,PF,26,POR,5,0,36,4,5,0.8,0,0,,4,5,0.8,0.8,2,3,0.667,3,5,8,0,1,1,0,5,10,holliro01
105,Talen Horton-Tucker,SG,20,LAL,4,0,48,11,24,0.458,1,5,0.2,10,19,0.526,0.479,3,5,0.6,2,12,14,2,1,0,3,3,26,hortota01
106,Dwight Howard,C,35,PHI,12,0,149,16,30,0.533,0,1,0,16,29,0.552,0.533,24,40,0.6,26,49,75,8,2,6,12,31,56,howardw01
107,Markus Howard,SG,21,DEN,9,0,112,15,37,0.405,11,26,0.423,4,11,0.364,0.554,1,2,0.5,1,6,7,4,0,1,0,10,42,howarma02
108,Kevin Huerter,SG,22,ATL,18,10,558,77,180,0.428,33,95,0.347,44,85,0.518,0.519,12,17,0.706,11,58,69,51,14,16,19,49,199,huertke01
109,De'Andre Hunter,SF,23,ATL,5,5,152,18,45,0.4,6,16,0.375,12,29,0.414,0.467,12,16,0.75,2,18,20,3,1,3,7,11,54,huntede01
110,Chandler Hutchison,SF,24,WAS,2,0,18,2,5,0.4,0,0,,2,5,0.4,0.4,2,2,1,0,3,3,1,0,0,1,1,6,hutchch01
111,Serge Ibaka,C,31,LAC,2,0,18,3,6,0.5,0,2,0,3,4,0.75,0.5,4,4,1,1,3,4,2,1,3,1,1,10,ibakase01
112,Andre Iguodala,SF,37,MIA,4,0,71,6,11,0.545,3,7,0.429,3,4,0.75,0.682,0,0,,3,9,12,5,4,2,5,8,15,iguodan01
113,Ersan ?lyasova,PF,33,UTA,1,0,3,1,2,0.5,0,1,0,1,1,1,0.5,2,2,1,0,0,0,0,0,0,0,0,4,ilyaser01
114,Joe Ingles,SF,33,UTA,11,6,306,39,79,0.494,24,58,0.414,15,21,0.714,0.646,10,13,0.769,1,33,34,38,7,0,9,19,112,inglejo01
115,Kyrie Irving,PG,28,BRK,9,9,325,77,163,0.472,24,65,0.369,53,98,0.541,0.546,26,28,0.929,12,40,52,31,9,5,11,19,204,irvinky01
116,Jaren Jackson Jr.,C,21,MEM,5,5,137,23,54,0.426,8,28,0.286,15,26,0.577,0.5,14,16,0.875,9,19,28,5,5,6,4,21,68,jacksja02
117,Justin Jackson,SF,25,MIL,5,0,15,3,5,0.6,0,2,0,3,3,1,0.6,0,0,,1,1,2,1,1,0,1,0,6,jacksju01
118,Reggie Jackson,SG,30,LAC,19,17,622,122,252,0.484,58,142,0.408,64,110,0.582,0.599,36,41,0.878,7,53,60,65,18,3,28,49,338,jacksre01
119,LeBron James,PG,36,LAL,6,6,224,54,114,0.474,18,48,0.375,36,66,0.545,0.553,14,23,0.609,7,36,43,48,9,2,25,7,140,jamesle01
120,Mike James,PG,30,BRK,9,0,103,14,43,0.326,5,16,0.313,9,27,0.333,0.384,0,0,,2,14,16,12,2,0,3,6,33,jamesmi02
121,Isaiah Joe,SG,21,PHI,4,0,9,1,3,0.333,0,2,0,1,1,1,0.333,0,0,,0,0,0,1,0,0,0,2,2,joeis01
122,Alize Johnson,PF,24,BRK,5,0,23,4,7,0.571,0,0,,4,7,0.571,0.571,0,0,,3,10,13,0,3,0,3,1,8,johnsal02
123,Cameron Johnson,PF,24,PHO,21,0,443,55,110,0.5,33,74,0.446,22,36,0.611,0.65,29,32,0.906,16,50,66,16,19,4,15,28,172,johnsca02
124,Tyler Johnson,SG,28,BRK,8,0,69,6,17,0.353,3,11,0.273,3,6,0.5,0.441,2,2,1,2,4,6,5,2,0,1,9,17,johnsty01
125,Nikola Joki?,C,25,DEN,10,10,345,116,228,0.509,20,53,0.377,96,175,0.549,0.553,46,55,0.836,37,79,116,50,6,9,24,23,298,jokicni01
126,Derrick Jones Jr.,SF,23,POR,2,0,10,2,5,0.4,0,2,0,2,3,0.667,0.4,0,0,,0,0,0,0,1,0,0,2,4,jonesde02
127,Tyus Jones,PG,24,MEM,5,0,47,6,17,0.353,1,4,0.25,5,13,0.385,0.382,2,2,1,1,6,7,6,1,0,0,1,15,jonesty01
128,Frank Kaminsky,C,27,PHO,10,0,68,10,22,0.455,1,5,0.2,9,17,0.529,0.477,1,1,1,2,12,14,14,2,3,4,9,22,kaminfr01
129,Luke Kennard,SG,24,LAC,15,0,219,31,65,0.477,21,51,0.412,10,14,0.714,0.638,1,2,0.5,5,9,14,7,2,0,3,15,84,kennalu01
130,Maxi Kleber,PF,29,DAL,7,4,187,12,30,0.4,8,20,0.4,4,10,0.4,0.533,5,7,0.714,5,20,25,10,3,0,1,19,37,klebima01
131,Nathan Knight,PF,23,ATL,6,0,14,2,7,0.286,0,2,0,2,5,0.4,0.286,0,2,0,0,6,6,0,0,2,0,2,4,knighna01
132,Kevin Knox,SF,21,NYK,1,0,4,0,0,,0,0,,0,0,,,2,2,1,0,1,1,1,0,1,0,0,2,knoxke01
133,John Konchar,SG,24,MEM,1,0,3,0,1,0,0,1,0,0,0,,0,0,0,,0,1,1,0,0,1,0,0,0,konchjo01
134,Furkan Korkmaz,SG,23,PHI,12,4,195,30,73,0.411,14,44,0.318,16,29,0.552,0.507,10,14,0.714,4,20,24,7,7,3,5,9,84,korkmfu01
135,Luke Kornet,C,25,BOS,2,0,5,1,1,1,0,0,,1,1,1,1,1,2,0.5,0,3,3,0,0,0,0,0,3,kornelu01
136,Kyle Kuzma,SF,25,LAL,6,0,129,14,48,0.292,4,23,0.174,10,25,0.4,0.333,6,9,0.667,4,19,23,7,2,1,6,8,38,kuzmaky01
137,Romeo Langford,SG,21,BOS,4,2,109,13,32,0.406,6,17,0.353,7,15,0.467,0.5,4,4,1,5,5,10,5,3,2,1,2,36,langfro01
138,T.J. Leaf,PF,23,POR,3,0,7,3,4,0.75,0,0,,3,4,0.75,0.75,0,0,,2,1,3,0,0,0,0,0,6,leaftj01
139,Alex Len,C,27,WAS,5,3,42,8,14,0.571,0,0,,8,14,0.571,0.571,4,7,0.571,4,7,11,2,1,0,1,8,20,lenal01
140,Kawhi Leonard,SF,29,LAC,11,11,432,122,213,0.573,24,61,0.393,98,152,0.645,0.629,66,75,0.88,22,63,85,48,23,9,24,29,334,leonaka01
141,Damian Lillard,PG,30,POR,6,6,248,62,134,0.463,35,78,0.449,27,56,0.482,0.593,47,50,0.94,1,25,26,61,6,4,13,9,206,lillada01
142,Nassir Little,PF,20,POR,3,0,9,1,4,0.25,1,4,0.25,0,0,,0.375,2,4,0.5,0,1,1,0,0,1,1,0,5,littlna01
143,Brook Lopez,C,32,MIL,23,23,667,119,217,0.548,23,72,0.319,96,145,0.662,0.601,37,43,0.86,48,87,135,6,17,34,25,48,298,lopezbr01
144,Robin Lopez,C,32,WAS,5,0,73,18,25,0.72,0,0,,18,25,0.72,0.72,1,4,0.25,4,5,9,0,0,4,1,7,37,lopezro01
145,Timothé Luwawu-Cabarrot,SF,25,BRK,7,0,25,3,10,0.3,2,6,0.333,1,4,0.25,0.4,0,0,,0,3,3,2,0,0,1,1,8,luwawti01
146,Terance Mann,SG,24,LAC,19,6,378,54,104,0.519,16,37,0.432,38,67,0.567,0.596,20,28,0.714,17,35,52,14,10,5,4,41,144,mannte01
147,Boban Marjanovi?,C,32,DAL,4,3,83,20,39,0.513,0,0,,20,39,0.513,0.513,7,9,0.778,14,18,32,4,0,1,4,13,47,marjabo01
148,Garrison Mathews,SG,24,WAS,3,0,17,0,4,0,0,4,0,0,0,,0,4,5,0.8,0,2,2,0,0,0,0,4,4,mathega01
149,Wesley Matthews,SG,34,LAL,6,1,110,10,33,0.303,7,25,0.28,3,8,0.375,0.409,6,6,1,5,5,10,2,2,0,0,13,33,matthwe02
150,Tyrese Maxey,SG,20,PHI,12,0,156,29,66,0.439,4,12,0.333,25,54,0.463,0.47,14,22,0.636,1,21,22,16,3,6,5,16,76,maxeyty01
151,Skylar Mays,SG,23,ATL,7,0,17,4,5,0.8,0,0,,4,5,0.8,0.8,0,0,,0,2,2,1,2,0,1,1,8,mayssk01
152,CJ McCollum,SG,29,POR,6,6,240,50,114,0.439,14,42,0.333,36,72,0.5,0.5,10,13,0.769,6,30,36,26,2,4,12,25,124,mccolcj01
153,JaVale McGee,C,33,DEN,4,0,34,3,10,0.3,0,2,0,3,8,0.375,0.3,2,6,0.333,3,9,12,3,1,5,1,4,8,mcgeeja01
154,Alfonzo McKinnie,SF,28,LAL,2,0,12,0,3,0,0,2,0,0,1,0,0,0,0,,0,1,1,0,0,0,0,1,0,mckinal01
155,Ben McLemore,SG,27,LAL,4,0,36,2,9,0.222,2,6,0.333,0,3,0,0.333,0,0,,1,6,7,1,1,0,1,5,6,mclembe01
156,Nicolò Melli,PF,30,DAL,3,0,19,0,4,0,0,2,0,0,2,0,0,0,0,,2,4,6,0,1,0,0,3,0,mellini01
157,De'Anthony Melton,PG,22,MEM,5,0,83,11,31,0.355,6,20,0.3,5,11,0.455,0.452,3,5,0.6,4,12,16,5,1,4,3,7,31,meltode01
158,Sam Merrill,SG,24,MIL,8,0,30,2,7,0.286,1,5,0.2,1,2,0.5,0.357,0,0,,1,4,5,1,4,0,1,2,5,merrisa01
159,Khris Middleton,SF,29,MIL,23,23,922,198,452,0.438,60,175,0.343,138,277,0.498,0.504,86,97,0.887,25,149,174,118,35,4,74,58,542,middlkh01
160,Paul Millsap,PF,35,DEN,9,0,109,22,50,0.44,6,23,0.261,16,27,0.593,0.5,8,13,0.615,9,26,35,15,3,6,8,14,58,millspa01
161,Shake Milton,SG,24,PHI,12,0,121,15,47,0.319,8,19,0.421,7,28,0.25,0.404,14,15,0.933,0,9,9,9,3,1,11,18,52,miltosh01
162,Donovan Mitchell,PG,24,UTA,10,10,346,105,235,0.447,50,115,0.435,55,120,0.458,0.553,63,76,0.829,3,39,42,55,11,2,28,20,323,mitchdo01
163,E'Twaun Moore,SG,31,PHO,7,0,46,8,18,0.444,1,5,0.2,7,13,0.538,0.472,0,0,,0,10,10,9,1,0,3,3,17,mooreet01
164,Ja Morant,PG,21,MEM,5,5,203,55,113,0.487,10,31,0.323,45,82,0.549,0.531,31,40,0.775,7,17,24,41,2,0,17,9,151,moranja01
165,Juwan Morgan,PF,23,UTA,2,0,6,0,0,,0,0,,0,0,,,0,0,,1,1,2,1,0,0,0,1,0,morgaju01
166,Marcus Morris,PF,31,LAC,19,18,604,86,200,0.43,36,96,0.375,50,104,0.481,0.52,24,32,0.75,13,68,81,28,10,10,7,49,232,morrima03
